Issuer_Compass_Alias,Date,value
IGPA,2020-06-18 00:00:00,20043.16015625
IGPA,2020-06-19 00:00:00,20234.55078125
IGPA,2020-06-22 00:00:00,20127.69921875
IGPA,2020-06-23 00:00:00,20274.83984375
IGPA,2020-06-24 00:00:00,20295.0
IGPA,2020-06-25 00:00:00,20306.740234375
IGPA,2020-06-26 00:00:00,20100.359375
IGPA,2020-06-30 00:00:00,19969.01953125
IGPA,2020-07-01 00:00:00,20315.630859375
IGPA,2020-07-02 00:00:00,20996.169921875
IGPA,2020-07-03 00:00:00,21147.759765625
IGPA,2020-07-06 00:00:00,21584.94921875
IGPA,2020-07-07 00:00:00,21469.23046875
IGPA,2020-07-08 00:00:00,21127.83984375
IGPA,2020-07-09 00:00:00,20395.240234375
IGPA,2020-07-10 00:00:00,20375.150390625
IGPA,2020-07-13 00:00:00,20783.19921875
IGPA,2020-07-14 00:00:00,21068.01953125
IGPA,2020-07-15 00:00:00,20446.310546875
IGPA,2020-07-17 00:00:00,20217.8203125
IGPA,2020-07-20 00:00:00,19866.98046875
IGPA,2020-07-21 00:00:00,19694.58984375
IGPA,2020-07-22 00:00:00,19952.869140625
IGPA,2020-07-24 00:00:00,20314.900390625
IGPA,2020-07-27 00:00:00,20519.5703125
IGPA,2020-06-17 00:00:00,20063.3
IGPA,2020-06-16 00:00:00,19806.4
IGPA,2020-06-15 00:00:00,19587.27
IGPA,2020-06-12 00:00:00,19990.19
IGPA,2020-06-11 00:00:00,19819.6
IGPA,2020-06-10 00:00:00,20368.61
IGPA,2020-06-09 00:00:00,20661.01
IGPA,2020-06-08 00:00:00,20720.72
IGPA,2020-06-05 00:00:00,20215.54
IGPA,2020-06-04 00:00:00,19502.54
IGPA,2020-06-03 00:00:00,19238.21
IGPA,2020-06-02 00:00:00,18829.74
IGPA,2020-06-01 00:00:00,18516.11
IGPA,2020-05-29 00:00:00,18362.54
IGPA,2020-05-28 00:00:00,18465.5
IGPA,2020-05-27 00:00:00,18947.75
IGPA,2020-05-26 00:00:00,18817.22
IGPA,2020-05-25 00:00:00,18895.59
IGPA,2020-05-22 00:00:00,18773.02
IGPA,2020-05-20 00:00:00,18908.37
IGPA,2020-05-19 00:00:00,18755.2
IGPA,2020-05-18 00:00:00,18881.57
IGPA,2020-05-15 00:00:00,18213.33
IGPA,2020-05-14 00:00:00,18306.36
IGPA,2020-05-13 00:00:00,18160.38
IGPA,2020-05-12 00:00:00,18807.0
IGPA,2020-05-11 00:00:00,19147.96
IGPA,2020-05-08 00:00:00,19172.32
IGPA,2020-05-07 00:00:00,19964.37
IGPA,2020-05-06 00:00:00,19806.55
IGPA,2020-05-05 00:00:00,19615.23
IGPA,2020-05-04 00:00:00,19295.38
IGPA,2020-04-30 00:00:00,19823.33
IGPA,2020-04-29 00:00:00,19987.51
IGPA,2020-04-28 00:00:00,19455.09
IGPA,2020-04-27 00:00:00,19056.93
IGPA,2020-04-24 00:00:00,18483.21
IGPA,2020-04-23 00:00:00,18805.7
IGPA,2020-04-22 00:00:00,18496.4
IGPA,2020-04-21 00:00:00,18381.03
IGPA,2020-04-20 00:00:00,18843.26
IGPA,2020-04-17 00:00:00,19160.19
IGPA,2020-04-16 00:00:00,19058.12
IGPA,2020-04-15 00:00:00,19296.08
IGPA,2020-04-14 00:00:00,19590.56
IGPA,2020-04-13 00:00:00,19293.05
IGPA,2020-04-09 00:00:00,19134.03
IGPA,2020-04-08 00:00:00,18790.2
IGPA,2020-04-07 00:00:00,18506.96
IGPA,2020-04-06 00:00:00,18645.87
IGPA,2020-04-03 00:00:00,18298.05
IGPA,2020-04-02 00:00:00,17814.63
IGPA,2020-04-01 00:00:00,17173.55
IGPA,2020-03-31 00:00:00,17486.77
IGPA,2020-03-30 00:00:00,16651.41
IGPA,2020-03-27 00:00:00,16224.74
IGPA,2020-03-26 00:00:00,16174.86
IGPA,2020-03-25 00:00:00,15738.52
IGPA,2020-03-24 00:00:00,14798.57
IGPA,2020-03-23 00:00:00,14784.91
IGPA,2020-03-20 00:00:00,15597.19
IGPA,2020-03-19 00:00:00,15560.26
IGPA,2020-03-18 00:00:00,14685.25
IGPA,2020-03-17 00:00:00,16560.56
IGPA,2020-03-16 00:00:00,16454.33
IGPA,2020-03-13 00:00:00,18896.25
IGPA,2020-03-12 00:00:00,18725.03
IGPA,2020-03-11 00:00:00,19949.9
IGPA,2020-03-10 00:00:00,20392.82
IGPA,2020-03-09 00:00:00,20239.11
IGPA,2020-03-06 00:00:00,21165.59
IGPA,2020-03-05 00:00:00,21607.34
IGPA,2020-03-04 00:00:00,21807.93
IGPA,2020-03-03 00:00:00,21485.01
IGPA,2020-03-02 00:00:00,21463.73
IGPA,2020-02-28 00:00:00,20748.06
IGPA,2020-02-27 00:00:00,21410.35
IGPA,2020-02-26 00:00:00,21602.23
IGPA,2020-02-25 00:00:00,21926.29
IGPA,2020-02-24 00:00:00,22242.96
IGPA,2020-02-21 00:00:00,22726.97
IGPA,2020-02-20 00:00:00,22762.37
IGPA,2020-02-19 00:00:00,22705.6
IGPA,2020-02-18 00:00:00,22830.34
IGPA,2020-02-17 00:00:00,23239.64
IGPA,2020-02-14 00:00:00,23345.11
IGPA,2020-02-13 00:00:00,23360.48
IGPA,2020-02-12 00:00:00,23402.04
IGPA,2020-02-11 00:00:00,23356.34
IGPA,2020-02-10 00:00:00,23209.5
IGPA,2020-02-07 00:00:00,23469.59
IGPA,2020-02-06 00:00:00,23524.83
IGPA,2020-02-05 00:00:00,23405.74
IGPA,2020-02-04 00:00:00,23373.25
IGPA,2020-02-03 00:00:00,22971.18
IGPA,2020-01-31 00:00:00,22958.19
IGPA,2020-01-30 00:00:00,22861.92
IGPA,2020-01-29 00:00:00,22962.97
IGPA,2020-01-28 00:00:00,22965.8
IGPA,2020-01-27 00:00:00,22933.43
IGPA,2020-01-24 00:00:00,23310.2
IGPA,2020-01-23 00:00:00,23355.92
IGPA,2020-01-22 00:00:00,23454.72
IGPA,2020-01-21 00:00:00,23580.72
IGPA,2020-01-20 00:00:00,24113.09
IGPA,2020-01-17 00:00:00,24392.02
IGPA,2020-01-16 00:00:00,24425.92
IGPA,2020-01-15 00:00:00,24387.9
IGPA,2020-01-14 00:00:00,24565.22
IGPA,2020-01-13 00:00:00,24720.61
IGPA,2020-01-10 00:00:00,24861.18
IGPA,2020-01-09 00:00:00,24429.78
IGPA,2020-01-08 00:00:00,24490.55
IGPA,2020-01-07 00:00:00,24499.85
IGPA,2020-01-06 00:00:00,24342.38
IGPA,2020-01-03 00:00:00,24141.94
IGPA,2020-01-02 00:00:00,23985.35
IGPA,2019-12-30 00:00:00,23393.53
IGPA,2019-12-27 00:00:00,23376.72
IGPA,2019-12-26 00:00:00,23381.42
IGPA,2019-12-24 00:00:00,23563.91
IGPA,2019-12-23 00:00:00,23613.29
IGPA,2019-12-20 00:00:00,23662.72
IGPA,2019-12-19 00:00:00,23727.31
IGPA,2019-12-18 00:00:00,23667.42
IGPA,2019-12-17 00:00:00,24026.43
IGPA,2019-12-16 00:00:00,24316.37
IGPA,2019-12-13 00:00:00,24350.41
IGPA,2019-12-12 00:00:00,24006.09
IGPA,2019-12-11 00:00:00,23858.13
IGPA,2019-12-10 00:00:00,23729.39
IGPA,2019-12-09 00:00:00,23664.55
IGPA,2019-12-06 00:00:00,23560.12
IGPA,2019-12-05 00:00:00,23600.44
IGPA,2019-12-04 00:00:00,23150.19
IGPA,2019-12-03 00:00:00,22471.98
IGPA,2019-12-02 00:00:00,22523.21
IGPA,2019-11-29 00:00:00,22705.71
IGPA,2019-11-28 00:00:00,22609.03
IGPA,2019-11-27 00:00:00,22978.36
IGPA,2019-11-26 00:00:00,22845.21
IGPA,2019-11-25 00:00:00,23270.76
IGPA,2019-11-22 00:00:00,23605.28
IGPA,2019-11-21 00:00:00,23676.38
IGPA,2019-11-20 00:00:00,23870.91
IGPA,2019-11-19 00:00:00,23908.66
IGPA,2019-11-18 00:00:00,24022.51
IGPA,2019-11-15 00:00:00,24218.59
IGPA,2019-11-14 00:00:00,22434.13
IGPA,2019-11-13 00:00:00,22059.41
IGPA,2019-11-12 00:00:00,22709.5
IGPA,2019-11-11 00:00:00,23110.32
IGPA,2019-11-08 00:00:00,23470.37
IGPA,2019-11-07 00:00:00,23392.03
IGPA,2019-11-06 00:00:00,23082.76
IGPA,2019-11-05 00:00:00,23737.58
IGPA,2019-11-04 00:00:00,24106.45
IGPA,2019-10-30 00:00:00,23838.15
IGPA,2019-10-29 00:00:00,24541.55
IGPA,2019-10-28 00:00:00,24960.0
IGPA,2019-10-25 00:00:00,24888.28
IGPA,2019-10-24 00:00:00,25222.48
IGPA,2019-10-23 00:00:00,24760.1
IGPA,2019-10-22 00:00:00,25154.6
IGPA,2019-10-21 00:00:00,24985.61
IGPA,2019-10-18 00:00:00,26136.79
IGPA,2019-10-17 00:00:00,26043.2
IGPA,2019-10-16 00:00:00,25938.17
IGPA,2019-10-15 00:00:00,25970.69
IGPA,2019-10-14 00:00:00,25852.0
IGPA,2019-10-11 00:00:00,25871.53
IGPA,2019-10-10 00:00:00,25478.9
IGPA,2019-10-09 00:00:00,25374.29
IGPA,2019-10-08 00:00:00,25411.94
IGPA,2019-10-07 00:00:00,25454.46
IGPA,2019-10-04 00:00:00,25400.26
